" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales"
"wages_paid_manufacturing",".93",".77",".92",".87",".93",".97",".97",".87",".86",".18",".70",".66",".22",".75",".26",".50",".68",".52",".60",".39",".50",".28","-.07",".69",".15",".54",".42",".26",".31",".15",".78",".09",".01",".63",".56",".69",".87",".86",".69",".73",".81",".79",".79",".66",".85",".81",".64",".57",".75",".80",".71",".30",".19",".74",".73","-.13",".67",".87",".58",".63","-.12",".83",".83",".43",".84",".95",".95",".95",".94",".91",".15",".95",".95",".95",".12",".12",".95",".95","-.17",".88",".91",".95",".95",".97",".77",".17",".96",".85","1.00",".94",".95",".92",".92",".90",".94",".93",".91",".95",".92",".95",".95",".13",".11",".12",".12",".06","-.10",".08",".13",".18",".13",".13",".09",".01",".21",".19",".08",".13",".10",".18",".06",".09",".15","-.07",".98",".90",".18",".96",".84","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_services",".88",".88",".94",".74",".92",".99",".99",".92",".89",".39",".83",".76",".38",".82",".42",".60",".69",".58",".68",".40",".60",".33","-.07",".75",".25",".59",".52",".32",".45",".25",".85",".16",".10",".74",".62",".79",".92",".88",".86",".83",".75",".84",".87",".77",".93",".82",".70",".64",".84",".67",".78",".25",".13",".88",".84","-.15",".80",".93",".71",".71","-.13",".92",".80",".45",".93","1.00","1.00","1.00","1.00",".95",".21","1.00","1.00","1.00",".32",".31","1.00",".99","-.21",".80",".93","1.00","1.00",".98",".78",".30",".97",".97",".94","1.00","1.00",".99",".99",".99",".99",".99",".99",".99",".99",".99",".99",".33",".30",".31",".31",".24",".06",".26",".30",".37",".33",".32",".28",".20",".41",".38",".26",".29",".28",".34",".25",".28",".35",".09",".98",".93",".31",".97",".96",".94","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_wholesale_and_retail",".89",".88",".94",".75",".92","1.00","1.00",".92",".89",".39",".83",".74",".38",".82",".42",".60",".70",".59",".68",".41",".58",".33","-.06",".73",".26",".59",".50",".32",".45",".25",".85",".16",".11",".74",".63",".80",".91",".87",".84",".81",".77",".83",".86",".75",".93",".82",".70",".63",".84",".67",".78",".27",".14",".86",".82","-.16",".79",".92",".69",".71","-.14",".91",".80",".45",".92","1.00","1.00","1.00","1.00",".94",".22","1.00","1.00","1.00",".31",".31","1.00",".99","-.22",".81",".93","1.00","1.00",".98",".79",".31",".97",".96",".94","1.00","1.00",".99",".98",".99",".99",".99",".99",".99",".99",".99",".99",".32",".29",".31",".30",".24",".06",".25",".29",".36",".32",".32",".28",".20",".40",".37",".26",".28",".28",".34",".25",".27",".34",".08",".98",".93",".32",".97",".96",".94","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_transportation",".89",".87",".94",".75",".92",".99",".99",".93",".90",".42",".81",".71",".44",".80",".46",".58",".68",".58",".67",".39",".57",".32","-.07",".71",".26",".58",".49",".31",".49",".26",".86",".16",".12",".74",".61",".79",".89",".85",".82",".78",".73",".82",".83",".74",".90",".80",".68",".61",".81",".68",".75",".23",".11",".85",".79","-.16",".77",".91",".66",".72","-.14",".89",".79",".43",".89",".99",".99",".99",".99",".93",".26",".99",".99",".99",".32",".33",".99",".99","-.27",".80",".92",".99",".99",".98",".80",".37",".96",".97",".93",".99",".99","1.00",".97",".98",".98",".98",".98",".98",".98",".99",".98",".34",".30",".33",".31",".27",".07",".28",".30",".38",".35",".33",".30",".22",".40",".39",".27",".28",".29",".35",".26",".29",".35",".07",".98",".94",".38",".96",".96",".93",".99",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_finance",".87",".88",".93",".73",".90",".98",".98",".92",".89",".32",".83",".82",".33",".82",".36",".61",".64",".53",".66",".35",".63",".31","-.07",".81",".22",".57",".56",".28",".40",".23",".83",".15",".08",".70",".59",".75",".96",".93",".89",".89",".71",".89",".89",".81",".93",".77",".65",".66",".84",".69",".76",".19",".09",".90",".89","-.14",".80",".95",".76",".66","-.12",".93",".81",".43",".94",".99",".99",".99",".98",".94",".18",".98",".98",".99",".29",".28",".99",".98","-.17",".75",".89",".98",".99",".96",".75",".22",".96",".95",".93",".99",".98",".98","1.00",".99",".98",".98",".97",".97",".96",".97",".98",".29",".27",".28",".28",".20",".05",".22",".27",".31",".28",".29",".24",".16",".38",".35",".21",".27",".26",".31",".21",".24",".33",".07",".96",".90",".24",".96",".94",".93",".99",".98",".97","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_business",".82",".88",".90",".65",".87",".97",".97",".92",".88",".42",".86",".80",".39",".85",".43",".62",".66",".58",".68",".39",".62",".31","-.07",".77",".26",".57",".57",".32",".46",".26",".83",".17",".11",".74",".60",".79",".94",".88",".91",".86",".70",".84",".89",".80",".95",".79",".70",".68",".87",".62",".81",".19",".09",".93",".88","-.14",".84",".94",".75",".69","-.13",".94",".78",".45",".95",".98",".98",".98",".97",".93",".19",".98",".98",".98",".38",".37",".98",".97","-.19",".70",".87",".98",".98",".94",".72",".29",".93",".97",".89",".98",".97",".98",".98","1.00",".97",".98",".98",".96",".95",".95",".97",".38",".36",".36",".37",".29",".13",".30",".35",".40",".37",".38",".33",".25",".47",".44",".31",".34",".34",".40",".32",".33",".41",".16",".94",".89",".31",".93",".97",".89",".98",".98",".97",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_professional",".88",".89",".93",".75",".91",".98",".98",".92",".89",".33",".83",".77",".33",".78",".37",".57",".67",".56",".66",".38",".61",".30","-.08",".77",".22",".61",".50",".29",".40",".22",".84",".14",".06",".71",".61",".76",".94",".90",".85",".85",".73",".86",".88",".77",".92",".79",".68",".63",".82",".66",".75",".21",".12",".86",".84","-.12",".79",".92",".72",".67","-.12",".91",".81",".44",".92",".98",".98",".98",".98",".92",".19",".99",".98",".99",".28",".27",".99",".98","-.20",".79",".92",".98",".99",".97",".75",".24",".96",".95",".94",".99",".98",".97",".98",".97","1.00",".97",".97",".98",".97",".97",".98",".29",".27",".27",".27",".20",".03",".21",".27",".32",".29",".29",".24",".16",".37",".35",".21",".27",".26",".30",".21",".24",".33",".08",".97",".91",".26",".96",".94",".94",".99",".98",".97",".98",".97","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_education",".88",".87",".93",".73",".91",".98",".98",".92",".89",".37",".83",".77",".37",".83",".40",".60",".70",".58",".68",".40",".60",".33","-.06",".75",".24",".59",".52",".31",".43",".26",".85",".15",".11",".73",".62",".79",".92",".88",".85",".83",".75",".84",".87",".76",".93",".81",".68",".64",".84",".66",".78",".24",".12",".88",".84","-.15",".80",".92",".71",".69","-.13",".91",".80",".45",".93",".99",".99",".99",".99",".94",".21",".99",".99",".99",".31",".31",".99",".99","-.18",".79",".92",".99",".99",".97",".77",".28",".96",".95",".93",".99",".99",".99",".98",".98",".98","1.00",".98",".97",".97",".98",".99",".32",".30",".31",".31",".24",".07",".25",".30",".36",".32",".32",".27",".19",".40",".37",".25",".27",".28",".35",".25",".27",".35",".08",".97",".91",".29",".96",".95",".93",".99",".99",".98",".98",".98",".97","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_healthcare",".84",".88",".92",".68",".88",".98",".98",".91",".87",".42",".85",".75",".39",".84",".42",".61",".73",".61",".70",".43",".59",".34","-.06",".72",".28",".60",".52",".35",".44",".28",".85",".16",".13",".76",".63",".82",".90",".85",".86",".81",".76",".81",".88",".75",".95",".84",".74",".66",".87",".61",".81",".28",".14",".89",".83","-.15",".83",".91",".70",".71","-.14",".92",".78",".47",".94",".99",".99",".99",".99",".94",".21",".99",".99",".99",".37",".36",".99",".98","-.17",".78",".93",".99",".99",".96",".76",".30",".95",".96",".91",".99",".99",".99",".97",".99",".98",".99","1.00",".97",".97",".97",".99",".37",".35",".36",".36",".29",".12",".30",".35",".42",".37",".37",".33",".25",".46",".43",".31",".34",".33",".39",".31",".33",".40",".14",".96",".92",".31",".95",".96",".91",".99",".99",".98",".97",".98",".97",".98","1",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_media",".91",".85",".94",".80",".93",".99",".99",".90",".88",".34",".77",".72",".39",".77",".42",".56",".65",".55",".63",".36",".57",".32","-.07",".73",".24",".57",".46",".29",".46",".21",".84",".13",".08",".69",".60",".74",".91",".88",".81",".80",".75",".85",".83",".75",".89",".78",".66",".59",".78",".73",".72",".25",".12",".82",".79","-.16",".74",".92",".67",".71","-.13",".90",".83",".42",".89",".98",".99",".99",".99",".93",".22",".99",".99",".99",".24",".24",".99",".99","-.25",".83",".92",".99",".99",".98",".79",".27",".97",".94",".96",".99",".99",".98",".97",".96",".98",".97",".96","1.00",".99",".98",".98",".25",".22",".25",".24",".18","-.01",".19",".22",".29",".27",".25",".21",".14",".33",".31",".19",".22",".22",".27",".18",".20",".27",".02",".98",".94",".28",".97",".93",".96",".98",".98",".98",".97",".95",".98",".97",".96","1",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_food",".87",".87",".92",".74",".90",".98",".98",".90",".87",".40",".79",".72",".45",".77",".47",".58",".66",".57",".65",".37",".59",".32","-.08",".71",".27",".57",".48",".31",".50",".23",".84",".15",".10",".72",".62",".76",".89",".85",".83",".80",".73",".85",".82",".75",".89",".78",".67",".60",".78",".67",".71",".25",".11",".83",".78","-.16",".75",".91",".66",".73","-.14",".90",".80",".41",".89",".98",".98",".98",".99",".91",".25",".98",".98",".98",".29",".29",".98",".98","-.27",".81",".92",".98",".99",".97",".78",".33",".95",".96",".92",".99",".99",".98",".96",".97",".98",".97",".97",".99","1.00",".98",".97",".30",".27",".30",".28",".24",".04",".25",".27",".35",".32",".30",".26",".20",".37",".36",".24",".25",".27",".30",".23",".25",".32",".06",".97",".93",".34",".95",".95",".92",".98",".98",".98",".96",".95",".97",".97",".97",".98","1",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_other",".91",".88",".95",".78",".94",".99",".99",".93",".90",".39",".80",".72",".40",".78",".42",".57",".67",".56",".64",".37",".57",".32","-.06",".72",".25",".57",".48",".29",".46",".26",".85",".17",".11",".72",".63",".77",".89",".86",".81",".79",".75",".83",".82",".73",".89",".79",".65",".59",".79",".69",".71",".26",".12",".82",".79","-.17",".74",".90",".67",".70","-.14",".88",".80",".41",".88",".99",".99",".99",".99",".94",".26",".99",".99",".99",".29",".30",".99",".99","-.27",".83",".93",".99",".99",".99",".81",".37",".97",".96",".94",".99",".99",".99",".97",".97",".98",".98",".97",".98",".99","1.00",".98",".31",".27",".31",".28",".24",".04",".26",".27",".35",".32",".30",".27",".19",".37",".36",".24",".26",".27",".31",".22",".25",".32",".04",".98",".94",".38",".97",".95",".94",".99",".99",".99",".97",".96",".97",".98",".97",".98",".98","1",".",".",".",".",".",".",".",".",".","."
"wages_paid_public",".89",".86",".94",".75",".92",".99",".99",".91",".87",".34",".81",".75",".33",".84",".37",".59",".73",".59",".68",".42",".58",".33","-.06",".74",".23",".60",".50",".32",".40",".24",".84",".14",".09",".73",".62",".79",".91",".87",".83",".80",".79",".82",".87",".74",".93",".84",".71",".64",".85",".68",".80",".28",".16",".86",".83","-.14",".80",".91",".70",".70","-.13",".91",".80",".47",".93",".99",".99",".99",".99",".96",".18",".99",".99",".99",".28",".28",".99",".99","-.17",".83",".94",".99",".99",".98",".78",".26",".97",".94",".95",".99",".99",".98",".98",".98",".98",".99",".99",".98",".97",".98","1.00",".29",".27",".27",".28",".20",".04",".22",".27",".34",".29",".29",".25",".16",".38",".35",".23",".27",".25",".32",".22",".24",".31",".06",".98",".93",".27",".97",".94",".95",".99",".99",".98",".98",".97",".98",".99",".99",".98",".97",".98","1",".",".",".",".",".",".",".",".","."
"average_usual_hours","-.35","-.36","-.39","-.27","-.35","-.44","-.51","-.33","-.28","-.35","-.32","-.25","-.41","-.44","-.45","-.28","-.48","-.38","-.37","-.29","-.24","-.17",".16","-.22","-.21","-.32","-.17","-.29","-.41","-.09","-.46",".01","-.05","-.40","-.32","-.42","-.37","-.29","-.41","-.27","-.49","-.37","-.46","-.32","-.47","-.52","-.47","-.36","-.45","-.28","-.47","-.30","-.20","-.44","-.31",".03","-.43","-.46","-.28","-.56",".20","-.52","-.38","-.23","-.50","-.45","-.45","-.44","-.48","-.43","-.21","-.50","-.50","-.51","-.32","-.33","-.42","-.42","-.32","-.43","-.50","-.43","-.46","-.36","-.04","-.09","-.36","-.42","-.35","-.46","-.45","-.45","-.42","-.46","-.46","-.47","-.50","-.44","-.47","-.44","-.43","-.31","-.33","-.32","-.36","-.27","-.19","-.24","-.29","-.41","-.38","-.36","-.32","-.31","-.38","-.33","-.30","-.19","-.29","-.46","-.34","-.33","-.35","-.38","-.46","-.44","-.01","-.44","-.46","-.45","-.51","-.52","-.52","-.46","-.49","-.47","-.53","-.55","-.49","-.52","-.49","-.51","1",".",".",".",".",".",".",".","."
"average_usual_hours_males","-.39","-.42","-.45","-.30","-.41","-.51","-.57","-.41","-.35","-.40","-.41","-.31","-.40","-.51","-.46","-.32","-.54","-.44","-.43","-.34","-.28","-.21",".17","-.28","-.24","-.37","-.22","-.33","-.41","-.14","-.52","-.01","-.08","-.46","-.37","-.49","-.44","-.36","-.49","-.34","-.54","-.41","-.54","-.38","-.55","-.59","-.54","-.44","-.54","-.31","-.54","-.30","-.22","-.52","-.38","-.03","-.51","-.52","-.34","-.60",".20","-.58","-.42","-.28","-.58","-.52","-.51","-.50","-.53","-.49","-.15","-.57","-.57","-.57","-.44","-.45","-.49","-.49","-.26","-.45","-.55","-.50","-.52","-.43","-.02","-.12","-.42","-.49","-.42","-.53","-.52","-.52","-.48","-.52","-.52","-.53","-.57","-.50","-.53","-.50","-.49","-.43","-.46","-.42","-.48","-.36","-.30","-.32","-.42","-.52","-.48","-.48","-.44","-.40","-.51","-.45","-.41","-.34","-.41","-.54","-.46","-.45","-.48","-.50","-.52","-.50","-.04","-.50","-.54","-.51","-.58","-.58","-.58","-.53","-.57","-.54","-.59","-.62","-.55","-.58","-.55","-.58",".96","1",".",".",".",".",".",".","."
"average_usual_hours_females","-.05","-.05","-.05","-.05","-.09","-.16","-.30","-.15","-.12","-.22","-.13","-.06","-.39","-.21","-.35","-.15","-.27","-.16","-.21","-.13","-.10","-.13",".04","-.05","-.14","-.16","-.03","-.16","-.34","-.05","-.28",".00","-.07","-.21","-.19","-.24","-.15","-.11","-.17","-.07","-.28","-.21","-.19","-.13","-.20","-.30","-.22","-.11","-.18","-.22","-.21","-.23","-.09","-.18","-.09",".19","-.16","-.25","-.08","-.39",".18","-.26","-.22","-.06","-.22","-.17","-.17","-.16","-.19","-.19","-.18","-.29","-.29","-.30",".02","-.01","-.15","-.16","-.03","-.27","-.23","-.17","-.16","-.15","-.25","-.05","-.14","-.11","-.15","-.16","-.17","-.18","-.14","-.11","-.11","-.18","-.16","-.16","-.17","-.18","-.17",".01",".04","-.04","-.01","-.03",".08","-.07",".08","-.10","-.11",".00","-.01","-.05","-.02",".02",".02",".19",".07","-.15",".04","-.01",".02",".21","-.27","-.30","-.07","-.25","-.24","-.27","-.30","-.31","-.32","-.25","-.25","-.25","-.33","-.31","-.29","-.33","-.31","-.29",".59",".39","1",".",".",".",".",".","."
"average_actual_hours","-.15","-.19","-.19","-.08","-.15","-.21","-.21","-.09","-.05","-.22","-.13","-.11","-.19","-.25","-.24","-.16","-.25","-.26","-.18","-.16","-.08","-.07",".09","-.08","-.15","-.15","-.07","-.20","-.21","-.05","-.20",".06",".00","-.20","-.14","-.18","-.15","-.09","-.24","-.11","-.23","-.15","-.25","-.15","-.25","-.25","-.29","-.22","-.26","-.08","-.27","-.16","-.07","-.25","-.16",".04","-.24","-.20","-.15","-.30",".07","-.27","-.15","-.16","-.26","-.22","-.21","-.20","-.23","-.23",".03","-.21","-.20","-.21","-.32","-.32","-.20","-.16","-.23","-.15","-.23","-.20","-.22","-.14",".13",".02","-.14","-.22","-.14","-.23","-.21","-.21","-.20","-.25","-.24","-.21","-.27","-.22","-.23","-.20","-.21","-.29","-.34","-.28","-.35","-.25","-.23","-.21","-.29","-.33","-.32","-.35","-.29","-.30","-.35","-.32","-.30","-.33","-.32","-.36","-.35","-.30","-.33","-.39","-.17","-.18",".08","-.15","-.21","-.16","-.22","-.22","-.21","-.19","-.23","-.20","-.20","-.25","-.20","-.21","-.18","-.22",".54",".58",".11","1",".",".",".",".","."
"average_actual_hours_males","-.18","-.21","-.23","-.10","-.20","-.25","-.27","-.13","-.09","-.24","-.17","-.16","-.20","-.31","-.27","-.19","-.30","-.31","-.22","-.20","-.12","-.05",".14","-.13","-.14","-.20","-.11","-.22","-.23","-.03","-.25",".06",".02","-.24","-.17","-.22","-.21","-.14","-.30","-.16","-.28","-.20","-.31","-.21","-.31","-.31","-.34","-.28","-.32","-.12","-.33","-.18","-.10","-.31","-.21",".01","-.30","-.26","-.20","-.35",".07","-.34","-.20","-.20","-.33","-.26","-.24","-.24","-.26","-.27",".13","-.26","-.26","-.27","-.37","-.37","-.23","-.20","-.17","-.18","-.27","-.24","-.25","-.18",".17",".02","-.18","-.25","-.19","-.26","-.25","-.25","-.24","-.28","-.27","-.25","-.30","-.25","-.26","-.23","-.25","-.34","-.40","-.32","-.41","-.28","-.27","-.23","-.35","-.38","-.36","-.40","-.33","-.33","-.41","-.37","-.35","-.37","-.38","-.43","-.40","-.35","-.39","-.44","-.22","-.21",".09","-.21","-.27","-.21","-.28","-.28","-.27","-.25","-.29","-.26","-.26","-.31","-.25","-.26","-.24","-.28",".58",".66",".10",".97","1",".",".",".","."
"average_actual_hours_females","-.02","-.07","-.05",".02","-.04","-.09","-.12","-.04","-.01","-.18","-.08","-.02","-.19","-.14","-.19","-.12","-.16","-.15","-.13","-.07","-.01","-.12","-.04",".00","-.17","-.08",".00","-.17","-.16","-.12","-.12",".02","-.09","-.13","-.10","-.15","-.05","-.01","-.12","-.02","-.13","-.06","-.12","-.06","-.13","-.15","-.18","-.11","-.13","-.05","-.15","-.13","-.01","-.12","-.06",".11","-.11","-.09","-.06","-.20",".08","-.15","-.07","-.09","-.13","-.10","-.09","-.09","-.11","-.11","-.07","-.12","-.12","-.12","-.19","-.20","-.09","-.05","-.12","-.09","-.13","-.09","-.09","-.06","-.05","-.01","-.05","-.10","-.05","-.10","-.10","-.10","-.08","-.10","-.10","-.07","-.13","-.10","-.11","-.09","-.10","-.19","-.20","-.19","-.21","-.17","-.13","-.17","-.15","-.22","-.23","-.21","-.21","-.22","-.21","-.19","-.18","-.20","-.19","-.21","-.20","-.20","-.18","-.14","-.10","-.15","-.01","-.08","-.13","-.08","-.12","-.13","-.13","-.10","-.12","-.11","-.09","-.15","-.12","-.13","-.11","-.13",".21",".21",".16",".84",".71","1",".",".","."
"retail_sales",".79",".89",".89",".61",".85",".94",".95",".92",".88",".49",".88",".77",".43",".83",".46",".63",".68",".59",".69",".40",".61",".32","-.05",".73",".30",".58",".56",".35",".48",".31",".84",".19",".16",".76",".61",".82",".91",".85",".90",".84",".68",".81",".88",".78",".95",".79",".71",".67",".87",".56",".80",".20",".09",".92",".85","-.14",".85",".91",".72",".70","-.13",".92",".74",".46",".94",".95",".95",".95",".95",".85",".26",".97",".97",".97",".45",".44",".95",".94","-.10",".66",".86",".95",".96",".91",".62",".37",".87",".97",".83",".96",".95",".96",".95",".99",".96",".96",".98",".93",".94",".93",".93",".46",".43",".44",".44",".36",".20",".37",".42",".48",".44",".45",".41",".33",".53",".50",".39",".40",".41",".45",".39",".41",".48",".25",".93",".88",".37",".91",".98",".85",".97",".97",".97",".96",".99",".95",".97",".98",".93",".95",".95",".96","-.50","-.58","-.20","-.25","-.30","-.13","1",".","."
"wholesale_sales",".80",".89",".89",".64",".85",".93",".94",".93",".90",".35",".89",".87",".30",".82",".33",".63",".59",".51",".66",".33",".66",".30","-.04",".83",".23",".55",".62",".28",".36",".28",".80",".18",".12",".70",".57",".77",".98",".94",".93",".94",".64",".88",".91",".84",".94",".72",".63",".69",".86",".60",".76",".12",".04",".94",".93","-.13",".84",".93",".79",".60","-.11",".93",".76",".42",".95",".94",".94",".95",".94",".86",".21",".95",".95",".95",".36",".35",".94",".94","-.09",".63",".83",".94",".95",".90",".64",".25",".89",".95",".85",".95",".94",".94",".97",".98",".95",".95",".95",".92",".92",".90",".93",".37",".35",".34",".35",".26",".14",".29",".35",".36",".34",".37",".31",".22",".46",".42",".28",".34",".33",".36",".29",".32",".41",".17",".92",".85",".25",".92",".94",".87",".96",".95",".93",".98",".98",".95",".95",".95",".92",".92",".93",".94","-.40","-.48","-.15","-.18","-.24","-.08",".96","1","."
"manufacturing_sales",".90",".86",".94",".79",".91",".98",".98",".95",".93",".27",".84",".77",".23",".80",".27",".57",".67",".54",".66",".39",".59",".29","-.06",".77",".18",".57",".52",".28",".32",".24",".82",".15",".07",".70",".59",".76",".94",".92",".81",".85",".75",".83",".87",".74",".92",".80",".67",".64",".83",".71",".77",".22",".13",".85",".84","-.11",".78",".91",".68",".61","-.12",".89",".82",".44",".91",".97",".98",".98",".96",".90",".21",".98",".98",".98",".26",".25",".98",".98","-.11",".79",".91",".97",".98",".97",".71",".25",".95",".93",".95",".97",".97",".96",".97",".96",".97",".97",".96",".96",".95",".96",".96",".27",".25",".25",".25",".18",".03",".20",".26",".29",".25",".26",".22",".12",".35",".32",".20",".25",".23",".28",".19",".22",".30",".08",".98",".90",".26",".97",".92",".96",".97",".97",".96",".98",".96",".97",".97",".96",".96",".95",".96",".97","-.42","-.49","-.17","-.16","-.21","-.06",".93",".95","1"
